,tmdb_id,name,place_of_birth,deathday,gender,known_for_department,popularity,profile_img_url,birthday_dt,year,month,weekday
2825,1674541,Nam Sung-Joon,,,,Acting,0.6,,,,,
2826,1235476,Jeong Bo-seok,"Naju, South Jeolla, South Korea",,2.0,Acting,1.615,https://image.tmdb.org/t/p/original/215o0cfwZ5O7GtgX1myqbQdjbp8.jpg,1962-05-02,1962.0,5.0,2.0
2827,2862293,Yoon So-Yi,,,,Acting,0.98,,,,,
2828,127706,Kim Seo-hyung,"Gangneung, Gangwon, South Korea",,1.0,Acting,7.111,https://image.tmdb.org/t/p/original/fiswmVfSLUVxGa6m7McdQXGZo6e.jpg,1973-10-28,1973.0,10.0,6.0
2829,3510452,Yoon Jong-bin,,,2.0,Acting,0.6,,1995-10-26,1995.0,10.0,3.0
2830,2330965,Bae Yoon-kyung,"Busan, South Korea",,1.0,Acting,4.41,https://image.tmdb.org/t/p/original/nuJaxHf4ymigiW76PKbkkqW9INB.jpg,1993-01-22,1993.0,1.0,4.0
2831,1427112,Kim Min,"Seoul, South Korea",,1.0,Acting,2.67,https://image.tmdb.org/t/p/original/sNzzoUfQU6FajLqWxkmdRVVN9Ti.jpg,1973-06-08,1973.0,6.0,4.0
2832,1350092,Kim Jae-kyung,"Seoul, South Korea",,1.0,Acting,2.673,https://image.tmdb.org/t/p/original/77TT4Cp1t3NRFLDmCRYDFLWVWJw.jpg,1988-12-24,1988.0,12.0,5.0
2833,2862295,Jung Wook,,,,Acting,0.6,,,,,
2834,1996765,Jun Noh Min,,,,Acting,0.6,,,,,
2835,1277308,Park In-hwan,"Cheongju, North Chungcheong, South Korea",,2.0,Acting,6.782,https://image.tmdb.org/t/p/original/nQ9gZB2u5SXNnwTU8FLlIVYZBOS.jpg,1945-01-06,1945.0,1.0,5.0
2836,1257606,Jin Yi-han,,,2.0,Acting,2.707,https://image.tmdb.org/t/p/original/96wMfWIFEQgDFlxVCtKpghvh1lj.jpg,1978-10-10,1978.0,10.0,1.0
2837,1178709,Qri,"Seoul, South Korea",,1.0,Acting,0.775,https://image.tmdb.org/t/p/original/5ND0Avq6sCxWNKHqGfpO70O6Vnm.jpg,1986-12-12,1986.0,12.0,4.0
2838,2125166,Nam Seong-hoon,"Osan, Gyeonggi, South Korea",2002-10-18,2.0,Acting,0.6,,1945-02-13,1945.0,2.0,1.0
2839,2144966,Ngoc Thao Trong,,,,Acting,0.6,,,,,
2840,2858603,Choi Byung-chan,"Jeonju, North Jeolla, South Korea",,2.0,Acting,6.746,https://image.tmdb.org/t/p/original/uePeUDNXQaBfUpLEhZ9hyNUK0ST.jpg,1997-11-12,1997.0,11.0,2.0
2841,1239675,Hwang Bo-ra,"Busan, South Korea",,1.0,Acting,7.216,https://image.tmdb.org/t/p/original/kYqk3HTZkE5HLvDJC7h1q0usbNl.jpg,1983-10-02,1983.0,10.0,6.0
